# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             149   N   00000a74   04628e63   00000a78   x06_t1     0000080c
             150   N   00000a78   00000317   00000ad4   ---        --------
             153   N   00000ad4   34129073   00000ad8   x05_t0     00000814
             154   N   00000ad8   30200073   00000adc   ---        --------
             156   N   00000adc   00200337   00000814   ---        --------
             159   N   00000814   80028293   00000818   x05_t0     00002000
             160   N   00000818   3002b073   0000081c   x05_t0     00001800
             161   N   0000081c   00001337   00000820   ---        --------
             162   N   00000820   00001337   00000820   ---        --------
             163   N   00000820   80030313   00000824   x06_t1     00001000
             164   N   00000824   30032073   00000828   x06_t1     00000800
             165   N   00000828   300023f3   0000082c   ---        --------
             166   N   0000082c   300023f3   0000082c   ---        --------
             167   N   0000082c   0053f3b3   00000830   x07_t2     00001880
             168   N   00000830   0e731063   00000834   x07_t2     00001800
             169   N   00000834   34415073   00000914   ---        --------
             172   N   00000914   000e0593   00000918   ---        --------
             173   N   00000918   00000513   0000091c   x11_a1     00000002
             174   N   0000091c   00000073   00000920   x10_a0     00000000
             175   E   00000920   00000013   00000200   mstatus    00001800
             175   E   00000920   00000013   00000200   mepc       00000920
             175   E   00000920   00000013   00000200   mcause     0000000b
             175   E   00000920   00000013   00000200   mtval      00000000
             178   N   00000200   000047a1   00000204   x14_a4     0000000b
             179   N   00000204   04f70263   00000206   x15_a5     00000008
             180   N   00000206   000047a5   0000020a   ---        --------
             181   N   0000020a   02f70f63   0000020c   x15_a5     00000009
             182   N   0000020c   000047ad   00000210   ---        --------
             183   N   00000210   02f70c63   00000212   x15_a5     0000000b
             184   N   00000212   47ad0837   0000024a   ---        --------
             188   N   0000024a   08370013   00000be0   ---        --------
             191   N   00000be0   51428293   00000be4   x05_t0     fffffbe0
             192   N   00000be4   00008282   00000be8   x05_t0     000000f4
             193   N   00000be8   00000013   000000f4   ---        --------
             196   N   000000f4   0000006f   000000f8   ---        --------
             197   N   000000f8   ffffffff   000000f8   ---        --------
